codigo_ibge;sigla;ano;variavel_valor
1302900;Acesso_SCM>=12Mbps;2025;3797.0
1303007;Acesso_SCM>=12Mbps;2025;960.0
1303106;Acesso_SCM>=12Mbps;2025;2064.0
1303205;Acesso_SCM>=12Mbps;2025;1169.0
1303304;Acesso_SCM>=12Mbps;2025;837.0
1303403;Acesso_SCM>=12Mbps;2025;7181.0
1303502;Acesso_SCM>=12Mbps;2025;813.0
1303536;Acesso_SCM>=12Mbps;2025;1917.0
1303569;Acesso_SCM>=12Mbps;2025;1624.0
1303601;Acesso_SCM>=12Mbps;2025;566.0
1303700;Acesso_SCM>=12Mbps;2025;1027.0
1303809;Acesso_SCM>=12Mbps;2025;2534.0
1303908;Acesso_SCM>=12Mbps;2025;1158.0
1303957;Acesso_SCM>=12Mbps;2025;121.0
1304005;Acesso_SCM>=12Mbps;2025;926.0
1304062;Acesso_SCM>=12Mbps;2025;7805.0
1304104;Acesso_SCM>=12Mbps;2025;1353.0
1304203;Acesso_SCM>=12Mbps;2025;4799.0
1304237;Acesso_SCM>=12Mbps;2025;541.0
1304260;Acesso_SCM>=12Mbps;2025;693.0
1304302;Acesso_SCM>=12Mbps;2025;302.0
1304401;Acesso_SCM>=12Mbps;2025;1071.0
1400027;Acesso_SCM>=12Mbps;2025;540.0
1400050;Acesso_SCM>=12Mbps;2025;1045.0
1400100;Acesso_SCM>=12Mbps;2025;97771.0
1400159;Acesso_SCM>=12Mbps;2025;638.0
1400175;Acesso_SCM>=12Mbps;2025;1655.0
1400209;Acesso_SCM>=12Mbps;2025;1388.0
1400233;Acesso_SCM>=12Mbps;2025;996.0
1400282;Acesso_SCM>=12Mbps;2025;578.0
1400308;Acesso_SCM>=12Mbps;2025;1441.0
1400407;Acesso_SCM>=12Mbps;2025;527.0
1400456;Acesso_SCM>=12Mbps;2025;811.0
1400472;Acesso_SCM>=12Mbps;2025;3364.0
1400506;Acesso_SCM>=12Mbps;2025;371.0
1400605;Acesso_SCM>=12Mbps;2025;317.0
1400704;Acesso_SCM>=12Mbps;2025;527.0
1500107;Acesso_SCM>=12Mbps;2025;25708.0
1500131;Acesso_SCM>=12Mbps;2025;127.0
1500206;Acesso_SCM>=12Mbps;2025;3329.0
1500305;Acesso_SCM>=12Mbps;2025;3555.0
1500347;Acesso_SCM>=12Mbps;2025;829.0
1500404;Acesso_SCM>=12Mbps;2025;3689.0
1500503;Acesso_SCM>=12Mbps;2025;4750.0
1500602;Acesso_SCM>=12Mbps;2025;23487.0
1500701;Acesso_SCM>=12Mbps;2025;2080.0
1500800;Acesso_SCM>=12Mbps;2025;86228.0
1500859;Acesso_SCM>=12Mbps;2025;826.0
1500909;Acesso_SCM>=12Mbps;2025;4127.0
1500958;Acesso_SCM>=12Mbps;2025;2814.0
1501006;Acesso_SCM>=12Mbps;2025;591.0
1501105;Acesso_SCM>=12Mbps;2025;696.0
1501204;Acesso_SCM>=12Mbps;2025;886.0
1501253;Acesso_SCM>=12Mbps;2025;143.0
1501303;Acesso_SCM>=12Mbps;2025;19569.0
1501402;Acesso_SCM>=12Mbps;2025;310036.0
1501451;Acesso_SCM>=12Mbps;2025;803.0
1501501;Acesso_SCM>=12Mbps;2025;8849.0
1501576;Acesso_SCM>=12Mbps;2025;721.0
1501600;Acesso_SCM>=12Mbps;2025;167.0
1501709;Acesso_SCM>=12Mbps;2025;12071.0
1501725;Acesso_SCM>=12Mbps;2025;3275.0
1501758;Acesso_SCM>=12Mbps;2025;55.0
1501782;Acesso_SCM>=12Mbps;2025;2118.0
1501808;Acesso_SCM>=12Mbps;2025;6303.0
1501907;Acesso_SCM>=12Mbps;2025;559.0
1501956;Acesso_SCM>=12Mbps;2025;949.0
1502004;Acesso_SCM>=12Mbps;2025;442.0
1502103;Acesso_SCM>=12Mbps;2025;1461.0
1502152;Acesso_SCM>=12Mbps;2025;26201.0
1502202;Acesso_SCM>=12Mbps;2025;13312.0
1502301;Acesso_SCM>=12Mbps;2025;3181.0
1502400;Acesso_SCM>=12Mbps;2025;48474.0
1502509;Acesso_SCM>=12Mbps;2025;1645.0
1502608;Acesso_SCM>=12Mbps;2025;837.0
1502707;Acesso_SCM>=12Mbps;2025;7503.0
1502756;Acesso_SCM>=12Mbps;2025;1805.0
1502764;Acesso_SCM>=12Mbps;2025;1683.0
1502772;Acesso_SCM>=12Mbps;2025;1883.0
1502806;Acesso_SCM>=12Mbps;2025;1656.0
1502855;Acesso_SCM>=12Mbps;2025;285.0
1502905;Acesso_SCM>=12Mbps;2025;3320.0
1502939;Acesso_SCM>=12Mbps;2025;6562.0
1502954;Acesso_SCM>=12Mbps;2025;2168.0
1503002;Acesso_SCM>=12Mbps;2025;460.0
1503044;Acesso_SCM>=12Mbps;2025;112.0
1503077;Acesso_SCM>=12Mbps;2025;2221.0
1503093;Acesso_SCM>=12Mbps;2025;3050.0
1503101;Acesso_SCM>=12Mbps;2025;2337.0
1503200;Acesso_SCM>=12Mbps;2025;2988.0
1503309;Acesso_SCM>=12Mbps;2025;1177.0
1503408;Acesso_SCM>=12Mbps;2025;560.0
1503457;Acesso_SCM>=12Mbps;2025;2345.0
1503507;Acesso_SCM>=12Mbps;2025;2036.0
1503606;Acesso_SCM>=12Mbps;2025;9666.0
1503705;Acesso_SCM>=12Mbps;2025;1930.0
1503754;Acesso_SCM>=12Mbps;2025;1306.0
1503804;Acesso_SCM>=12Mbps;2025;2389.0
1503903;Acesso_SCM>=12Mbps;2025;2679.0
1504000;Acesso_SCM>=12Mbps;2025;640.0
1504059;Acesso_SCM>=12Mbps;2025;5619.0
1504109;Acesso_SCM>=12Mbps;2025;43.0
1504208;Acesso_SCM>=12Mbps;2025;58285.0
1504307;Acesso_SCM>=12Mbps;2025;1237.0
1504406;Acesso_SCM>=12Mbps;2025;2656.0
1504422;Acesso_SCM>=12Mbps;2025;15525.0
1504455;Acesso_SCM>=12Mbps;2025;4076.0
1504505;Acesso_SCM>=12Mbps;2025;1349.0
1504604;Acesso_SCM>=12Mbps;2025;1553.0
1504703;Acesso_SCM>=12Mbps;2025;7432.0
1504752;Acesso_SCM>=12Mbps;2025;905.0
1504802;Acesso_SCM>=12Mbps;2025;2354.0
1504901;Acesso_SCM>=12Mbps;2025;2815.0
1504950;Acesso_SCM>=12Mbps;2025;1794.0
1504976;Acesso_SCM>=12Mbps;2025;1210.0
1505007;Acesso_SCM>=12Mbps;2025;204.0
1505031;Acesso_SCM>=12Mbps;2025;3155.0
1505064;Acesso_SCM>=12Mbps;2025;3734.0
1505106;Acesso_SCM>=12Mbps;2025;2103.0
1505205;Acesso_SCM>=12Mbps;2025;826.0
1505304;Acesso_SCM>=12Mbps;2025;3897.0
1505403;Acesso_SCM>=12Mbps;2025;2314.0
1505437;Acesso_SCM>=12Mbps;2025;8048.0
1505486;Acesso_SCM>=12Mbps;2025;1402.0
1505494;Acesso_SCM>=12Mbps;2025;26.0
1505502;Acesso_SCM>=12Mbps;2025;21747.0
1505536;Acesso_SCM>=12Mbps;2025;62882.0
1505551;Acesso_SCM>=12Mbps;2025;418.0
1505601;Acesso_SCM>=12Mbps;2025;155.0
1505635;Acesso_SCM>=12Mbps;2025;176.0
1505650;Acesso_SCM>=12Mbps;2025;1402.0
1505700;Acesso_SCM>=12Mbps;2025;633.0
1505809;Acesso_SCM>=12Mbps;2025;3275.0
1505908;Acesso_SCM>=12Mbps;2025;3348.0
1506005;Acesso_SCM>=12Mbps;2025;1727.0
1506104;Acesso_SCM>=12Mbps;2025;569.0
1506112;Acesso_SCM>=12Mbps;2025;315.0
1506138;Acesso_SCM>=12Mbps;2025;23620.0
1506161;Acesso_SCM>=12Mbps;2025;2070.0
1506187;Acesso_SCM>=12Mbps;2025;7696.0
1506195;Acesso_SCM>=12Mbps;2025;1907.0
1506203;Acesso_SCM>=12Mbps;2025;10925.0
1506302;Acesso_SCM>=12Mbps;2025;1253.0
1506351;Acesso_SCM>=12Mbps;2025;6802.0
1506401;Acesso_SCM>=12Mbps;2025;306.0
1506500;Acesso_SCM>=12Mbps;2025;9959.0
1506559;Acesso_SCM>=12Mbps;2025;2545.0
1506583;Acesso_SCM>=12Mbps;2025;2653.0
1506609;Acesso_SCM>=12Mbps;2025;2772.0
1506708;Acesso_SCM>=12Mbps;2025;6940.0
1506807;Acesso_SCM>=12Mbps;2025;42988.0
1506906;Acesso_SCM>=12Mbps;2025;159.0
1507003;Acesso_SCM>=12Mbps;2025;2737.0
1507102;Acesso_SCM>=12Mbps;2025;1560.0
1507151;Acesso_SCM>=12Mbps;2025;1000.0
1507201;Acesso_SCM>=12Mbps;2025;1257.0
1507300;Acesso_SCM>=12Mbps;2025;9595.0
1507409;Acesso_SCM>=12Mbps;2025;779.0
1507458;Acesso_SCM>=12Mbps;2025;1179.0
1507466;Acesso_SCM>=12Mbps;2025;269.0
1507474;Acesso_SCM>=12Mbps;2025;153.0
1507508;Acesso_SCM>=12Mbps;2025;1465.0
1507607;Acesso_SCM>=12Mbps;2025;4877.0
1507706;Acesso_SCM>=12Mbps;2025;2012.0
1507755;Acesso_SCM>=12Mbps;2025;331.0
1507805;Acesso_SCM>=12Mbps;2025;1770.0
1507904;Acesso_SCM>=12Mbps;2025;3046.0
1507953;Acesso_SCM>=12Mbps;2025;9846.0
1507961;Acesso_SCM>=12Mbps;2025;1471.0
1507979;Acesso_SCM>=12Mbps;2025;1966.0
1508001;Acesso_SCM>=12Mbps;2025;9114.0
1508035;Acesso_SCM>=12Mbps;2025;1626.0
1508050;Acesso_SCM>=12Mbps;2025;997.0
1508084;Acesso_SCM>=12Mbps;2025;9375.0
1508100;Acesso_SCM>=12Mbps;2025;7412.0
1508126;Acesso_SCM>=12Mbps;2025;1500.0
1508159;Acesso_SCM>=12Mbps;2025;4408.0
1508209;Acesso_SCM>=12Mbps;2025;5252.0
1508308;Acesso_SCM>=12Mbps;2025;2941.0
1508357;Acesso_SCM>=12Mbps;2025;1924.0
1508407;Acesso_SCM>=12Mbps;2025;5671.0
1600055;Acesso_SCM>=12Mbps;2025;858.0
1600105;Acesso_SCM>=12Mbps;2025;2009.0
1600154;Acesso_SCM>=12Mbps;2025;1458.0
1600204;Acesso_SCM>=12Mbps;2025;2063.0
1600212;Acesso_SCM>=12Mbps;2025;637.0
1600238;Acesso_SCM>=12Mbps;2025;1587.0
1600253;Acesso_SCM>=12Mbps;2025;704.0
1600279;Acesso_SCM>=12Mbps;2025;8754.0
1600303;Acesso_SCM>=12Mbps;2025;122684.0
1600402;Acesso_SCM>=12Mbps;2025;3823.0
1600501;Acesso_SCM>=12Mbps;2025;5703.0
1600535;Acesso_SCM>=12Mbps;2025;3826.0
1600550;Acesso_SCM>=12Mbps;2025;657.0
1600600;Acesso_SCM>=12Mbps;2025;26061.0
1600709;Acesso_SCM>=12Mbps;2025;2670.0
1600808;Acesso_SCM>=12Mbps;2025;1767.0
1700251;Acesso_SCM>=12Mbps;2025;102.0
1700301;Acesso_SCM>=12Mbps;2025;925.0
1700350;Acesso_SCM>=12Mbps;2025;243.0
